movie_name,release_date,runtime,movie_genre,movie_director,producer,banner
Firangi,2017-12-01,160,Comedy,Rajiev Dhingra,Kapil Sharma,K9 Films
Tumhari Sulu,2017-11-17,140,Comedy,Suresh Triveni,Bhushan Kumar,Ellipsis Entertainment
Aksar 2,2017-11-17,117,Thriller,Anant Mahadevan,Narendra Bajaj,Siddhi Vinayak Creations
Qarib Qarib Singlle,2017-11-10,125,Comedy,Tanuja Chandra,Zee Studios,Jar Pictures
Ittefaq,2017-11-03,107,Thriller,Abhay Chopra,Renu Ravi Chopra,B R Films
Golmaal Again,2017-10-20,151,Comedy,Rohit Shetty,Rohit Shetty,Reliance Entertainment
Secret Superstar,2017-10-19,150,Drama,Advait Chandan,Aamir Khan,Zee Studios
Chef,2017-10-06,133,Drama,Raja Krishna Menon,Krishan Kumar,T-Series
Judwaa 2,2017-09-29,150,Comedy,David Dhawan,Sajid Nadiadwala,Nadiadwala Grandson Entertainment
Newton,2017-09-22,107,Comedy,Amit Masurkar,Manish Mundra,Eros International
Bhoomi,2017-09-22,135,Drama,Omung Kumar,Sandeep Singh,T-Series Super Cassettes Industries Ltd.
Haseena Parkar,2017-09-22,124,Biographical,Apoorva Lakhia,Nahid Khan,Swiss Entertainment Pvt. Ltd.
Lucknow Central,2017-09-15,147,Thriller,Ranjit Tiwari,Monisha Advani,Viacom18 Motion Pictures
Simran,2017-09-15,124,Drama,Hansal Mehta,Bhushan Kumar,T-Series Super Cassettes Industries Ltd.
Poster Boys,2017-09-08,131,Comedy,Shreyas Talpade,Sony Pictures Networks Productions,Sony Pictures Networks Productions
